(C)1. 稅捐稽徵法第2條所稱之稅捐，不包括下列何項稅目？
(A) 綜合所得稅
(B) 遺產及贈與稅
(C) 關稅
(D) 土地增值稅

(B)2. 甲公司未於規定期限內辦理營利事業所得稅申報，依稅捐稽徵法第21條規定其核課期間為多久？
(A) 10年
(B) 7年
(C) 5年
(D) 3年

(D)3. 因天災事變等原因無法如期繳清稅款，依稅捐稽徵法第26條規定得向稅捐稽徵機關申請当期或分期繳納之期間，不得逾多久？
(A) 6個月
(B) 1年
(C) 2年
(D) 3年

(D)4. 稅捐稽徵人員須對納稅義務人提供之資料負保密義務，依稅捐稽徵法第33條規定，下列何種資料並非保密範圍？
(A) 納稅資料
(B) 營業資料
(C) 財產資料
(D) 統計資料

(A)5. 依稅捐稽徵法第35條規定，復查案件可否受理應優先考量下列何項原則？
(A) 程序優先實體原則
(B) 實體從舊程序從新原則
(C) 不溯及既往原則
(D) 新法優於舊法原則

(B)6. 下列有關特種貨物及勞務稅之敘述，何者正確？
(A) 自101年6月1日起開始實施
(B) 稅課收入循預算程序用於社會福利之支出
(C) 稅率一律為20%
(D) 遊艇每艘完稅價格達新台幣300萬元者，須課徵特銷稅

(A)7. 甲君於114年5月20日申報113年度綜合所得稅，且無故意以詐欺或其他不正當方法逃漏稅捐，則該案核課期間屆滿日為何？
(A) 119年5月19日
(B) 119年5月20日
(C) 5月19日
(D) 5月20日

(A)8. 因適用法令、認定事實、計算或其他原因之錯誤，且非歸責於政府機關，所致之溢繳稅款，依稅捐稽徵法第28條規定，納稅義務人得自繳納之日起幾年內提出具體證明，申請退還？
(A) 10年
(B) 15年
(C) 20年
(D) 無期限

(B)9. 依稅捐稽徵法第11條之1規定，有關稅款擔保品的種類及計值方式，下列敘述何者正確？
(A) 黃金按8折計算
(B) 上市或上櫃之有價證券，按8折計算
(C) 公債以成交價計值，再按8折計算
(D) 銀行存款單摺，按存款本金加計利息總額計值

(A)10. 依稅捐稽徵法第23條規定，關於徵收期間，下列敘述何者正確？
(A) 徵收期間應予扣除暫緩執行之期間
(B) 徵收期間應予扣除公司清算申報債權期間-
(C) 徵收期間應予扣除逾期申請復查期間
(D) 徵收期間應予扣除查對更正期間

(C)11. 依稅捐稽徵法第49條之1規定，有關檢舉逃漏稅捐核發獎金規定，下列哪些檢舉人不得領取獎金？1.依公司指示逃漏稅捐之員工2.稅務人員3.因執行職務發現而為舉發之公務員4.經分析網路公開資訊而為舉發之民眾
(A) 僅1,2
(B) 僅2,3
(C) 1,2,3
(D) 2,3,4

(A)12. 除因不可抗力或非歸責於納稅義務人之事由，得依法申請延期或分期繳納稅捐者外，依稅捐稽徴法第20條對於逾法定期限未繳納稅捐者應加徵滯納金之規定為何？
(A) 每逾3日按滯納數額加徵1%滯納金；逾30日仍未繳納者，移送強制執行
(B) 每逾2日按滯納數額加徵1%滯納金；逾30日仍未繳納者，移送強制執行
(C) 每逾1日按滯納數額加徵0.1%滯納金；逾10日仍未繳納者，移送強制執行
(D) 每逾1日按滯納數額加徵0.1%滯納金；逾20日仍未繳納者，移送強制執行

(D)13. 依稅捐稽徵法第14條規定，納稅義務人死亡，遺有財產者，其應繳納之稅捐，應最先由下列何人負責繳納？
(A) 繼承人
(B) 受遺贈人
(C) 遺產管理人
(D) 遺囑執行人

(A)14. 下列何者為國稅且課稅專圍為屬地主義？
(A) 綜合所得稅
(B) 營利事業所得稅
(C) 遺產及贈與稅
(D) 土地增值稅

(D)15. 某甲赴日本旅遊，參加日本百貨公司周年慶抽獎活動，抽中價值100萬汽車，依我國所得稅法規定，此筆中獎該如何課徵綜合所得稅？
(A) 應全數併入綜合所得課稅
(B) 採20%就源扣繳
(C) 數變動所得，採半數併入綜合所得課稅
(D) 免申報納稅

(B)16. 依所得稅法第4條規定，下列何者為免稅所得？
(A) 個人接受公司贈與之財產
(B) 個人因繼承而取得之財產
(C) 個人持有短期票券之利息所得
(D) 個人稿費收入30萬

(C)17. 某甲為中華民國境內居住者，於民國114年5月出售於民國110年9月購入之房地產，試問該房地交易適用的房地合一課稅稅率為何？
(A) 15%
(B) 20%
(C) 35%
(D) 45%

(D)18. 若個人未提示因取得、改良及移轉而支付之費用，稽徵機關得如何計算其房地合一交易所得之費用？、
(A) 按成交價額5%計算，並以50萬元為限
(B) 按成交價額5%計算，並以30萬元為限
(C) 按成交價額3%計算，並以50萬元為限
(D) 按成交價額3%計算，並以30萬元為限

(A)19. 依所得基本稅額條例第12條規定，下列何者無須計入個人之基本所得額？
(A) 位於加拿大的房屋租賃所得新臺幣80萬元
(B) 受益人與要保人非屬同一人之年金保險100萬元
(C) 未在證券商營業處所買賣之公司所發行之股票交易所得80萬元
(D) 選擇依28%稅率分開計稅之股利所得120萬元

(D)20. 個人領取之利息所得，下列何者不適用分離課稅？
(A) 公債
(B) 公司債
(C) 金融債券
(D) 郵局定期存款

(A)21. 依夕得稅法第17條規定，綜合所得稅保險費列舉扣除額扣除對象，不包括下列何者？
(A) 兄弟姊妹
(B) 孫子
(C) 配偶
(D) 子女

(C)22. 某甲在113年度出售100年購買之非自用住宅A房屋發生交易所得200萬元，惟同年並出售104年購買之B屋發生交易損失220萬元，假設兩屋均按實價計算且保有合法憑證，則某甲最多可申報當年度可扣除財產交易損失特別扣除額若干？
(A) 0元
(B) 20萬元
(C) 200萬元
(D) 220萬元

(A)23. 綜合所得稅扣除項目中的「房屋租金支出j扣除規定，下列敘述何者錯誤？
(A) 每戶每年以限租一屋為限
(B) 以承租作自住用途者為限
(C) 每戶每年扣除上限為新臺幣18萬元
(D) 限納稅義務人、配偶、受扶養直系親屬之租金支出

(D)24. 綜合所得稅的減免優惠項目中，下列何者非從綜合所得總額中扣除的方式完成？
(A) 儲蓄投資特別扣除額
(B) 房屋租金支出
(C) 財產交易損失
(D) 投資抵減

(C)25. 依所得稅法第17條規定，下列何者屬於列舉扣除額的項目？1.災害損失 2.財產交易損失 3.長期照顧 4.房屋租金支出 5.用住宅購屋借款利息。
(A) 僅2,3,4
(B) 僅1,3,4
(C) 僅1,5
(D) 僅1

(C)26. 某公司之會計年度經稽徵機關核准採用4月制，該公司113年度營利事業所得稅暫繳申報之期間應為何？
(A) 自113年8月1日至8月31日
(B) 自113年9月1日至9月30日
(C) 自113年12月1日至12月31日
(D) 自114年8月1日至8月31日

(A)27. 依所得稅法第43條之4規定，依外國法律設立，實際管理處所在中華民國境內之營利事業，應視為總機構在中華民國境內之營利事業，其條件不包含下列何者？
(A) 實際資金來源地為境內
(B) 在境內實際執行主要經營活動
(C) 財務報表之製作或儲存處所在境內
(D) 作成重大經營管理決策者為境內居住者

(A)28. 獨資、合夥組織番利事業交易其於民國105年1月1日以後取得之房屋、土地，應如何課稅？
(A) 應由獨資資本主或合夥組織合夥人就該房屋、土地交易所得額，依所得稅法第14條之4至第14條之7有關個人之規定課徵所得稅
(B) 計入獨資、合夥組織之營利事業之所得額中合併課稅
(C) 適用稅率為20%
(D) 其應納之土地增值稅得全數列為費用減除

(B)29. 我國A公司於民國113年11月出售其於民國110年1月購入之房地產，試問該房地交易所得該如何課稅？
(A) 不併計營利事業所得額，按45%分開計算應納稅額
(B) 不併計營利事業所得額，按35%分開計算應納稅額
(C) 不併計營利事業所得額，按20%分開計算應納稅額
(D) 計入其營利事業所得額，並按20%計算應納稅額

(C)30. 依營利事業所得稅查核準則第80條規定，下列有關營利事業列報交際費之敘述，何者錯誤？
(A) 使用藍色申報書者，其交際費認列之限額高於使用普通申報書者
(B) 委託會計師查核簽證申報者，得適用使用藍色申報書之列支限額
(C) 列報限額採超額累進之方式
(D) 經營外銷業務取得外匯收入者，得在不超過當年度外銷結匯收入總額2%範圍內，列支特別交際費

(D)31. 依所得稅法第38條規定，在計算營利事業課稅所得時，下列何者可列為費用或損失？
(A) 罰鍰
(B) 怠報金
(C) 家庭費用
(D) 對政府捐贈費用

(A)32. A公司為總機構在中華民國境外之營利事業，A公司轉投資國內上市公司而獲配之股利，該筆股利所得課稅方式為何？
(A) 按給付額依21%扣繳稅款，不計入營利事業所得額
(B) 依10%扣繳稅款，不計入營利事業所得額
(C) 併入A公司營利事業所得額申報納稅
(D) 該股利非屬中華民國來源所得，無須課稅

(B)33. 依所得基本稅額條例第3條規定，下列何種組織應依法辦理所得基本稅額之申報及繳納？
(A) 獨資或合夥之營利事業、
(B) 在我國境內設有固定營業場所之外國營利事業
(C) 符合免稅規定之教育、文化、公益、慈善機關或團體
(D) 依法經營不對外營業之消費合作社

(A)34. 有關所得基本稅額條例之規定，下列敘述何者正確？
(A) 獨資、合夥組織之營利事業不須申報繳納基本稅額
(B) 基本所得扣除金額係按消費者物價指數較上次調整年度之指數上漲累計達5%調整之
(C) 營利事業現行基本所得扣除金額為50萬元
(D) 個人現行基本所得扣除金額為670萬元

(B)35. 依所得基本稅額條例第7條規定，營利事業計算基本所得額時，以所得稅法規定計算之課稅所得額為基礎，加計之各項所得，下列何者非屬加計項目？
(A) 依所得稅法規定停徵所得稅之證券交易所得
(B) 依所得稅法規定不計入所得額課稅之股利或盈餘收入
(C) 依企業購併法規定免徵營利事業所得稅之所得額
(D) 依國際金融業務條例規定免徵營利事業所得稅之所得額

(D)36. 依營利事業所得稅查核準則第81條規定，下列有關福利金之提撥標準及費用認列何者錯誤？
(A) 創立時實收資本總額之5%限度內一次提撥。每年得在不超過提撥金額20%限度內，以費用列支
(B) 增資資本額之5%限度內一次提撥。每年得在不超過提撥金額20%限度內，以費用列支
(C) 每月營業收入總額內提撥0.05%至0.15%
(D) 下腳變價時提撥金額不得超過10%限度內

(B)37. 依所得稅法第22條規定，公司組織之會計基礎應採用下列何者？
(A) 現金收付制
(B) 權責發生制
(C) 信用收付制
(D) 出納收付制

(D)38. 總機構在中華民國境內經營海運業務之營利事業，符合一定要件，經中央目的事業主管機關核定者，得選擇按船舶噸位計算營利事業所得額，一經選定，應連續適用幾年不得變更？
(A) 3年
(B) 5年
(C) 7年
(D) 10年

(A)39. 符合盈虧互抵之營利事業，依所得稅法第39條規定，113年度之所得額可以減除下列哪一年度之核定虧損？
(A) 103-112年度
(B) 108-112年度
(C) 104-113年度
(D) 109-113年度

(C)40. 營利事業之各項會計憑證，除應永久保存或有關未結會計事項者外，應於會計年度決算程序辦理終了後；至少應保存幾年？
(A) 1年
(B) 3年
(C) 5年
(D) 10年

(C)41. 自114年度起，經營一般飲食小規模營業人之營業稅起徵點為每月銷售額多少萬元？
(A) 5萬元
(B) 8萬元
(C) 10萬元
(D) 20萬元

(D)42. 依加值型及非加值型營業稅法規定，下列何種情形非屬營業稅課徵範圍？
(A) 營業人解散時，將餘存貨物分配予股東
(B) 外銷貨物
(C) 進口貨物
(D) 由國外進入科學園區內之園區事業的保稅貨物

(D)43. 依加值型及非加值型營業稅法第12條規定，有陪侍服務之茶室，營業稅稅率為何？
(A) 5%
(B) 15%
(C) 20%
(D) 25%

(B)44. 依加值型及非加值型營業稅法第4條規定，銷售貨物須移運者，下列何者在中華民國境內，即視為在中華民國學內銷售貨物？
(A) 目的地
(B) 起運地
(C) 所在地
(D) 提供地

(A)45. 依加值型及非加值型營業稅法第8條規定，何者應課徵營業稅？
(A) 飯店的住宿服務
(B) 學校的教育勞務
(C) 個人肩挑沿街叫賣燒肉粽
(D) 漁民銷售其捕獲之鮮魚

(D)46. 依加值型及非加值型營業稅法第7條規定，下列何者不適用零稅率規定？
(A) 以貨物外銷者
(B) 與外銷有關之勞務
(C) 銷售與保稅區營業人供營運之貨物
(D) 在國外提供及使用之勞務

(A)47. 依加值型及非加值型營業稅法第9條規定'進口下列貨物，何者須課徵營業稅？
(A) 飼料
(B) 肥料
(C) 黃金
(D) 本國古物

(C)48. 下列進口貨物，何者不屬於行政院得對其機動調整其營業稅率之範圍？
(A) 小麥
(B) 大麥
(C) 麵粉
(D) 玉米

(B)49. 加值型營業人當期之營業稅額若為溢付稅額，原則上留抵次期應納稅額，但若為下列何種情形，可由主管稽徵機關查明後退還？
(A) 因進口貨物而溢付之營業稅額
(B) 因取得固定資產而溢付之營業稅額
(C) 因勞軍購買之貨物而溢付之營業稅額
(D) 因購買再保險之國外勞務而溢付之營業稅額

(C)50. 下列銷售行為何者須課徵營業稅？；
(A) 個人出售房屋
(B) 個人出售土地
(C) 公司出售房屋
(D) 公司出售土地

(C)51. 稅捐稽徵法第11條規定，依稅法規定應自他人取得之憑證及給予他人憑證之存根或副本，應保存多少年？
(A) 一年
(B) 三年
(C) 五年
(D) 十年

(D)52. 證券交易條例第7條規定，檢舉證券買賣人以詐欺及其他不正當行為逃稅情事，經查明屬實者，稽徵機關應以罰鍰之多少比例獎給舉發人？
(A) 百分之五
(B) 百分之十
(C) 百分之十五
(D) 百分之二十

(C)53. 稅捐稽徵法第12條規定，共有財產未設管理人者，共有人如何負擔納稅義務？
(A) 各按共有全部負納稅義務
(B) 各按共有平均負納稅義務
(C) 各按其應有部分負納稅義務、
(D) 視稅捐機關課稅方式負納稅義務

(D)54. 稅捐稽徵法第14條規定，納稅義務人死亡，遺有財產者如有依法應繳納之稅捐，其繼承人應如何處理遺產？
(A) 依民法先分割遺產，再繳清稅捐
(B) 依民法先交付遺贈，再繳清稅捐
(C) 依遺囑先分割遺產，再繳清稅捐
(D) 依稅法先繳清稅捐，再分割遺產

(C)55. 稅捐稽徵法第21條規定依法應由納稅義務人申報繳納之稅捐.已在規定期間內申報'且無故意以詐欺或其他予件當方法逃漏稅捐者，其核課期間為多少年？
(A) 一年
(B) 三年
(C) 五年
(D) 十年

(D)56. 稅捐稽徵法第21條規定，稅捐之核課期間屆滿時，納稅義務人對核定稅捐處分提起行政救濟尚未終結者，自核定稅捐處分經訴願或行政訴訟撤銷須另為處分確定之日起算一年內，發生何種時效效力？
(A) 時效消滅
(B) 時效中斷
(C) 時效終止
(D) 時效不完成

(C)57. 多捐稽徵法第23條規定，稅捐之徵收期間為多少年，自繳納期間屆滿之翌日起算？
(A) 一年
(B) 三年
(C) 五年
(D) 十年

(A)58. 稅捐稽徴法第23條規定，應徵之稅捐未於徵收期間徵起者，應如何徵收？
(A) 不得再行徵收
(B) 應通知重新徵收
(C) 補正資料後再行徵收
(D) 納入隔年倂入徵收

(B)59. 稅捐稽徵法第26條規定，納稅義務人因天災等事由或為經濟弱勢者，不能於法定期間內繳清稅捐者，得於規定納稅期間內，向稅捐稽徴機關申請延期或分期繳納，其延期或分期繳納之期間，不得逾對年？
(A) 一年
(B) 三年
(C) 五年
(D) 十年

(D)60. 稅捐稽徵法第28條規定，因適用法令、認定事實、計算或其他原因之錯誤，致溢繳稅款者，納稅義務人得自繳納之日起幾年內提出具體證明，申請退還？
(A) 一年
(B) 三年
(C) 五年
(D) 十年

(B)61. 稅捐稽徵法第35條規定，納稅義務人對於核定稅捐之處分如有不服，應先提何種救濟？
(A) 申訴
(B) 復查
(C) 訴願
(D) 行政訴訟

(C)62. 稅捐稽徵法第39條規定，納稅義務人應納稅捐，於繳納期間屆滿幾日後仍未繳納者，由稅捐稽徵機關移送強制執行？
(A) 十日
(B) 二十日
(C) 三十日
(D) 六十日

(A)63. 所得稅法第4條規定，下列何種所得不是屬於免納所得稅之所得？
(A) 大學教授之薪資
(B) 強制性質儲蓄存款之利息
(C) 因贈與而取得之財產
(D) 傷害或死亡之損害賠償金

(C)64. 所得稅法第4條規定，個人稿費'版稅、樂譜、作曲、編劇、漫畫及講演之鐘點費之收入，免納所得稅。但全年合計數以不超過之所得為限？
(A) 十二萬元
(B) 十五萬元
(C) 十八萬元
(D) 二十四萬元

(A)65. 所得稅法第5條規定，營利事業全年課稅所得學在多少以下者，免徵營利事業所得稅？
(A) 十二萬元
(B) 十五萬元
(C) 十八萬元
(D) 二十四萬元

(C)66. 所得稅法第5條規定，綜合所得稅課稅級距及累進稅率，下列何者錯誤？
(A) 全年綜合所得淨額在五十二萬元以下者，課徵百分之五
(B) 超過五十二萬元至一百十七萬元者，課徵二萬六千元，加超過五十二萬元部分之百分之十二
(C) 超過一百十七萬元至二百三十五萬元者，課徵十萬零四千元，加超過一百十七萬元部分之百分之三十
(D) 超過四百四十萬元者，課徵九十五萬五千元，加超過四百四十萬元部分之百分之四十

(B)67. 所得稅法第14條規定，勞工退休金條例規定自願提繳之退休金或年金保險費，合計在每月工資多少比例之範圍內，不計入提繳年度薪資收入課稅？
(A) 百分之五
(B) 百分之六
(C) 百分之八
(D) 百分之十

(D)68. 所得稅法第14-4條規定，中華民國境內居住個人房屋、土地交易所得稅率*下列何者錯誤？
(A) 持有房屋、土地之期間在二年以內者，稅率為百分之四十五
(B) 持有房屋、土地之期間超過二年，未逾五年者，稅率為百分之三十五
(C) 持有房屋、土地之期間超過五年*未逾十年者，稅率為百分之二十
(D) 持有房屋、土地之期間超過十年者，稅率為百分之十

(B)69. 所得稅法第17條規定，納稅義務人採列舉扣除額，其中對於教育、文化、公益、慈善機構或團體之捐贈總額最高不超過綜合所得總額之多少？
(A) 百分之十
(B) 百分之二十
(C) 百分之三十
(D) 百分之五十

(B)70. 所得稅法第17條規定，納稅義務人之子女成年屬於何種情況而受扶養，不得減除扶養親屬之免稅額？
(A) 在校就學
(B) 失業賦閒
(C) 身心障礙
(D) 無謀生能力

(C)71. 證券交易條例第2條規定，公司發行之股票及表明股票權利之證書或憑證徵收多少比例之證券交易稅？
(A) 千分之一
(B) 千分之二
(C) 千分之三
(D) 千分之五

(B)72. 所得稅法第22條規定，會計基礎，其非公司組織者，得因原有習慣或因營業範圍狹小，申報該管稽徵機關採用何種制度？
(A) 權責發生制
(B) 現金收付制
(C) 得選擇權責發生制或現金收付制
(D) 併採權責發生制與現金收付制

(B)73. 所得稅法第24-3條規定，公司之資金貸與股東或任何他人未收取利息，或約定之利息偏低者，除屬預支職工薪資者外，如何課稅？
(A) 應按公司貸與他人期間約定之利率計算公司利息收入課稅
(B) 應按資金貸與期間所屬年度一月一日臺灣銀行之基準利率計算公司利息收入課稅
(C) 應按資金貸與期間下一年度一月一日臺灣銀行之基準利率計算公司利息收入課稅
(D) 應按公司貸與他人期間民法規定之法定利率計算公司利息收入課稅

(B)74. 所得稅法第27條規定.營利事業之進貨*未取得進貨憑證或未將進貨憑證保存，稽徵機關得如何核定其進貨成本？
(A) 按當年度當地該項貨品之最高價格
(B) 按當年度當地該項貨品之最低價格
(C) 按當年度當地該項貨品之平均價格
(D) 按當年度當地該項貨品之市價平均價格

