(D)1. 下列何者非行政程序法第一條之立法目的？
(A) 遵循公正、公開與民主之程序
(B) 保障人民權益
(C) 提高行政效能
(D) 保障公務人員之權益

(D)2. 關於行政程序法制定之叵倒，下列何者錯誤？
(A) 確保依法行政原則
(B) 保障人民權益
(C) 提高行政效能
(D) 增強行政之強制力

(C)3. 下列何種類型之程序，其進行無行政程序法之適用？
(A) 訴願程序
(B) 行政執行程序
(C) 行政訴訟程序
(D) 行政罰裁處程序

(A)4. 依行政程序法第二條之規定，受託行使公權力之個人或團體，於下列何種關係範圍內，視為行政機關？
(A) 委託
(B) 委任
(C) 委辦
(D) 職務協助

(A)5. 依據行政程序法規定，行政機關係指代表國家、地方自治團體或其他行政主體表示意思，從事公共事務，具有下列何者之組織？
(A) 單獨法定地位
(B) 聯合法定地位
(C) 合作法定地位
(D) 附屬法定地位

(A)6. 下列何者非行政程序法第2條所稱「代表國家表示意思，從事公共事務，具有單獨法定地位之組織」的行政機關？
(A) 經濟部秘書室
(B) 經濟部水利署
(C) 經濟部能源局
(D) 經濟部貿易調查委員會

(D)7. 下列何者不屬於行政程序法所規定之行政程序？
(A) 處理陳情之程序
(B) 締結行政契約之程序
(C) 確定行政計畫之程序
(D) 辦理公共工程採購之程序

(C)8. 下列何者非屬行政程序法所稱之行政程序？
(A) 考試院修正專門職業及技術人員考試總成績計算規則
(B) 監理機關與汽車修理廠締結汽車委託檢驗契約
(C) 警察機關於轄區內進行巡邏
(D) 建築主管機關處理人民對拆除違建疏失提出之舉發

(C)9. 下列何者不屬於行政機關？
(A) 財政部國稅局
(B) 內政部警政署
(C) 教育部高教司
(D) 公平交易委員會

(A)10. 依據行政程序法之規定，下列敘述何者錯誤？
(A) 行政機關，係指代表國家、地方自治團體表示意思而不具獨立法定地位之組織
(B) 受託行使公權力之個人或團體，於委託範圍內，視為行政機關
(C) 行政機關為發揮共同一體之行政機能，應於其權限範圍內互相協助
(D) 行政機關之管轄權，依其組織法規或其他行政法規定之

(D)11. 依行政程序法規定，下列何者屬於行政機關？
(A) 臺北市政府警察局中山分局圓山派出所
(B) 臺中市政府地價及標準地價評議委員會
(C) 新北市政府訴願審議委員會
(D) 公平交易委員會

(D)12. 行政程序法所規定之行政程序，不包括作成下列何種行為之程序？
(A) 訂定法規命令
(B) 確定行政計畫
(C) 處理陳情
(D) 偵查犯罪

(D)13. 行政程序法規定之行政程序，不包括作成下列何種行為之程序？
(A) 行政處分
(B) 行政指導
(C) 處理陳情
(D) 公務員懲戒

(C)14. 行政程序法所稱之行政程序，不包括作成下列何種行政行為之程序？
(A) 作成行政處分
(B) 實施行政指導
(C) 行政強制執行
(D) 訂定法規命令

(C)15. 依行政程序法之規定，下列何機關之行政行為不適用行政程序法之程序規定？
(A) 行政院
(B) 台北市政府
(C) 高雄市議會
(D) 衛生福利部

(C)16. 依行政程序法第三條之規定，下列何機關之行政行為，適用行政程序法之程序規定？
(A) 立法院
(B) 監察院
(C) 財政部國稅局
(D) 最高法院

(D)17. 依行政程序法第三條之規定，下列何者適用行政程序法之程序規定？
(A) 外交、軍事之行為
(B) 詐騙刑事案件之犯罪偵查程序
(C) 律師高考憲法與行政法申論題之命題行為
(D) 稅捐機關對某行業查稅後之處罰行為

(C)18. 下列何種行為，不適用行政程序法之程序規定？
(A) 建築物管理相關措施
(B) 獨立機關所為之行為
(C) 外國人出、入境、難民認定及國籍變更之行為
